user,comment
nikki_faddy,😂 OMG! You talk way too fast on video Brittany!?! Just saying...
k.star1133,Dont criticize her so much maybe shes going trought a hard time or something it can happen to anybody.😩
bitcoin_ruffian,❤️🔥❤️🔥❤️🔥❤️
jenniescam,God please fix the eye make up
cztrna,is this sped up
eliz_darrow_bernstein,What is happening here
bluecrush_5,I have a funny feeling that she posted this because she possibly wasn't allowed to spend money or something. It almost seems sarcastic with the emoji's after the caption...thoughts? #teambrit
balboajojo,Nice hat 👍👍😍😍 can i have the white one 😂😂😂
dfriedmon,Luv u Britt 💥 @dannawasser_mon
janaevan,@ac0183 coolest souvenirs I’ve ever seen in my entire life 😍❤️😍❤️😍😍❤️😍😍😍😍❤️
holel,@ebubs2.0 cooked
keex74,Jason I know it’s really you in there! 🎭 @streamingsarah
paulossmoraes,👏
hammiekerney,Treat yourself 😌
tatasterzeck,"Can you please talk in slow motion? you have 0:59 seconds to speak a phrase of 10 words, not 5 seconds. Breathe Britney, just take a deep breath"
luiz_e_silva,Super star britneyspears  you lindona
rcjtweek,GORGEOUS WITH JUST ENOUGH MONEY
casey__land,Did her dad disable her from reading the comments????
claucamp11,❤️
scarlett_dragonstar,Love you sis
heatherp0885,Hope u have fun
khrismodeste,👍🏽
to_rome_with_love,Did anyone zoom in on the straw hat?! All the pieces are ripped off...
zahabialma,What a cruel industry... what have they done to her?
victoramirabile,❤️
csilkk,@ckadee @micheala_michelle
l.o.l.a_u.m.o,🌷🐜❤🐜🌷
ivanzinho_bruno,"Mds, essa mulher é um robo gente, n é possível!"
chico_spears,So many negative people in the comments but yet you follow her??? 🤔
kneumann616,@kpattersonn_
shelley_wallis,Hope you are doing well!!
megancarterrr,@tdtpn
lizirb,@kt_kinnebrew
general_hulk,Xoxoxoxo
teelaffee,@kelly_lundy_reeser @klaughey Britaboo
adrian.salgadoch,Muy anciana 🤡🤡🤡
ivyy_bell,@joellejn7 please tell me you have seen this
sol.sister.kendra,You go Brit! Thank you for your courage to speak out to the world.
