user,comment
trickyymicky,@jordynchoover
st3v3aust1n,Looking great Britney .
jkirk199990,💯💯
ninapolinski,@noemiemalka mais pk Britney 😩😂💗
jkops17,🦈 🦈 @rachelpizzolato @karapizz @kerranne
katiesabin92,@rachstearns
catarinaleao_,Lindíssima
lauraashleyliveart,@chmooreorless @samantha_austine
eigstagram,@mikey.olson
mandyb483,@clairebear_84 🔥💋
mandyb483,@clairebear_84 🔥💋
summergirl523,"It's like all she does is vacation, but from  what?😂"
finchenflow,What the hell should the Videos? She Sounds and Look like a Child or very scared
katersb13,In the AM of the morning.... @hethmcg @jak_krinick 😭
sarababyyyyy,What is the name of this song. I know I know it but can’t think of it 🤯
gustavo_capistrano,"Tá bom porra, já sabemos que vc tá na praia. Agora cadê música nova ??"
angelariverac,❤ 💋 🎶 @enriqueiglesias Mira lo que ocasionas..! 😂Lovely @britneyspears 😘💟
timmyclarke702,I like bike riding
brienleon,Let’s go shopping 🛍 babe!
kwiseman19,@emendrizzi I’m dying at the comments
mrsmamaduke,@nicholasconnell  I watch these all now 🙃
sonjcia,Is it me or did anyone else feel totally uncomfortable when she was talking?
hquinn91,@andy_tayl_r
tokyo_betty,Did anyone see a snorkel? Or Brittney after the first fast 5 seconds??
samuell_mendess,Rainhaaaaaa 😍
darkman6092,Gorgeous woman
downtoearthirrigation,Your awsome
nadeenyanes,@angeid @sereinmicheline
lindiceyloram,Linda
kgirard18,@brittdrou rising in the AM of the morning
beveele,Your beautiful Brit❤️
catarinaleao_,😍😍😍
celinekabaker,@tonyprado lol
mae_butler,Love You Beautiful Britney ❤️❤️👏🙏
fabianaesgarzi,Linda 💟
lmullis,@ashyoungn Monday am I right?
eliana.levi,I wanna go swimming with her 😂
sundial76,Flat tummy!! 🙌
bungatiarasella,"@wardanarozi liat apa aj yg mjncul,"
twentytillsix,What’s the secret to making insta videos this crappy ? Asking for a friend....
edwwjr_60,Video is to Small.
sara_bordazamboni,@enriqueiglesias
nicoleepham,@ridiculousrach_ I hope your vacation content looks like this when you’re in Europe
73cherie,Is she not allowed to go deeper then her knees???
taylorashlynn1,@tarakellymusic rising in the AM of the morning
1quillpig,#notrainingwheels
johndreyer01,Wow
